SubscriptionID,CustomerID,StartDate,EndDate,SubscriptionType
SUB084,182,10/5/2023,2/6/2024,Basic
SUB055,105,1/24/2023,12/26/2000,Premium
SUB014,254,7/3/2020,12/23/2012,Gold
SUB001,260,9/17/2012,8/17/2018,Silver
SUB044,95,11/3/2012,11/16/2016,Platinum
SUB003,15,7/3/2013,5/17/2004,Basic
SUB099,31,2/23/2004,1/17/2014,Premium
SUB067,85,6/28/2013,12/14/2016,Gold
SUB031,43,10/31/2009,8/1/2007,Silver
SUB052,239,7/8/2021,9/4/2015,Platinum
SUB039,67,8/26/2014,3/20/2013,Basic
SUB063,187,11/28/2012,9/20/2004,Premium
SUB084,291,3/12/2013,4/7/2019,Gold
SUB058,228,6/7/2008,2/12/2018,Silver
SUB034,121,4/5/2022,7/18/2010,Platinum
SUB054,293,5/22/2008,11/13/2024,Basic
SUB045,52,3/3/2005,10/29/2016,Premium
SUB072,292,11/1/2008,11/30/2020,Gold
SUB008,297,3/14/2010,7/21/2021,Silver
SUB052,28,5/18/2007,1/23/2006,Platinum
SUB035,24,10/8/2024,6/18/2014,Basic
SUB083,194,1/12/2000,6/19/2006,Premium
SUB032,97,2/11/2002,12/31/2022,Gold
SUB085,111,2/8/2004,10/26/2007,Silver
SUB012,126,10/7/2002,3/15/2022,Platinum
SUB029,205,11/24/2009,5/14/2018,Basic
SUB099,4,6/11/2015,2/16/2015,Premium
SUB084,104,1/14/2021,10/23/2018,Gold
SUB060,63,3/12/2017,11/16/2016,Silver
SUB029,73,8/14/2008,9/15/2008,Platinum
SUB072,37,10/2/2001,6/11/2012,Basic
SUB047,256,2/26/2020,3/17/2010,Premium
SUB089,253,11/6/2019,3/6/2023,Gold
SUB046,169,11/27/2017,1/13/2025,Silver
SUB062,159,8/13/2013,6/19/2018,Platinum
SUB015,198,9/18/2017,2/3/2020,Basic
SUB020,199,6/15/2013,10/7/2002,Premium
SUB017,138,12/14/2018,10/7/2015,Gold
SUB084,206,2/2/2012,9/6/2017,Silver
SUB022,285,1/8/2002,5/30/2000,Platinum
SUB069,46,10/16/2004,6/2/2001,Basic
SUB090,254,3/24/2005,9/9/2022,Premium
SUB014,7,7/25/2001,9/13/2019,Gold
SUB026,149,12/18/2015,7/13/2022,Silver
SUB033,82,2/19/2025,11/28/2019,Platinum
SUB077,176,5/5/2000,9/14/2014,Basic
SUB054,93,2/17/2025,2/2/2024,Premium
SUB019,55,12/4/2015,3/10/2020,Gold
SUB003,199,11/16/2005,12/11/2006,Silver
SUB043,50,2/11/2009,2/6/2025,Platinum
SUB053,217,10/11/2019,1/31/2001,Basic
SUB098,163,11/18/2023,10/23/2008,Premium
SUB070,47,10/17/2007,11/30/2022,Gold
SUB090,28,2/16/2011,5/13/2022,Silver
SUB004,250,1/9/2010,1/7/2005,Platinum
SUB012,95,8/17/2006,7/7/2000,Basic
SUB060,289,11/3/2018,8/14/2007,Premium
SUB027,218,5/27/2013,5/5/2020,Gold
SUB077,92,12/2/2018,5/6/2013,Silver
SUB062,1,5/21/2014,6/17/2007,Platinum
SUB023,208,5/16/2024,12/19/2007,Basic
SUB070,258,5/29/2024,3/6/2013,Premium
SUB082,87,8/13/2018,11/30/2010,Gold
SUB030,223,5/8/2003,7/6/2021,Silver
SUB077,141,8/4/2022,7/22/2023,Platinum
SUB015,216,6/1/2008,5/7/2022,Basic
SUB011,32,4/24/2009,5/13/2015,Premium
SUB066,157,4/27/2013,6/21/2000,Gold
SUB040,124,11/4/2006,10/8/2016,Silver
SUB065,27,12/7/2000,8/13/2023,Platinum
SUB081,123,8/7/2015,5/1/2016,Basic
SUB004,271,3/17/2008,2/8/2023,Premium
SUB024,277,9/17/2016,2/26/2016,Gold
SUB055,124,7/6/2003,11/6/2020,Silver
SUB099,240,9/3/2022,1/9/2025,Platinum
SUB034,216,2/13/2015,2/15/2000,Basic
SUB050,26,11/28/2022,10/23/2021,Premium
SUB098,294,11/8/2019,7/17/2021,Gold
SUB016,92,11/1/2013,7/29/2005,Silver
SUB060,33,11/26/2021,3/22/2003,Platinum
SUB063,231,7/25/2003,7/25/2003,Basic
SUB069,5,6/14/2013,1/1/2008,Premium
SUB051,278,4/12/2021,9/26/2002,Gold
SUB034,287,9/4/2016,8/19/2005,Silver
SUB078,237,9/5/2023,11/2/2005,Platinum
SUB081,163,10/2/2011,8/18/2022,Basic
SUB043,25,1/7/2023,4/20/2019,Premium
SUB072,4,11/24/2024,7/13/2011,Gold
SUB026,32,9/26/2008,9/12/2023,Silver
SUB032,236,3/17/2024,3/14/2016,Platinum
SUB050,10,11/1/2005,12/31/2008,Basic
SUB100.,268,3/23/2004,5/21/2023,Premium
SUB090,116,12/31/2011,1/8/2016,Gold
SUB097,121,10/27/2019,5/17/2024,Silver
SUB079,192,3/16/2024,1/31/2006,Platinum
SUB068,85,4/17/2010,11/24/2010,Basic
SUB062,133,12/25/2005,9/16/2021,Premium
SUB076,46,5/28/2004,12/28/2012,Gold
SUB082,189,1/21/2003,2/16/2025,Silver
SUB045,299,9/21/2001,6/15/2014,Platinum
