LocationID,RegionID,LocationName,Address
L01A1,Region133,New York City,55342 Dahle Way
L01A2,Region102,Los Angeles,66 Morrow Road
L01A3,Region83,Chicago,7614 Delladonna Center
L01A4,Region41,Houston,2 Meadow Ridge Plaza
L01A5,Region26,Phoenix,330 Grasskamp Circle
L01A6,Region131,Philadelphia,77351 Vahlen Trail
L01A7,Region26,San Antonio,2 Homewood Terrace
L01A8,Region51,San Diego,0 Westerfield Park
L01A9,Region61,Dallas,01797 Porter Street
L01A10,Region69,San Jose,9 Charing Cross Terrace
L01B1,Region31,Austin,3818 Dapin Plaza
L01B2,Region74,Jacksonville,34324 Oxford Court
L01B3,Region133,Fort Worth,2936 Maywood Circle
L01B4,Region102,Columbus,88414 Main Avenue
L01B5,Region39,Charlotte,21 Randy Hill
L01B6,Region138,San Francisco,097 Fairfield Parkway
L01B7,Region150,Indianapolis,513 International Way
L01B8,Region133,Seattle,35331 Lillian Pass
L01B9,Region125,Denver,9 5th Avenue
L01B10,Region4,Washington DC,53701 Kingsford Point
L01C1,Region84,Boston,39 Dunning Park
L01C2,Region24,El Paso,85 Columbus Way
L01C3,Region3,Nashville,861 Oxford Place
L01C4,Region73,Detroit,0 Welch Alley
L01C5,Region50,Oklahoma City,18287 Ilene Alley
L01C6,Region137,Portland,93 Daystar Center
L01C7,Region114,Las Vegas,874 East Place
L01C8,Region87,Memphis,65 Main Plaza
L01C9,Region41,Louisville,8 Portage Crossing
L01C10,Region94,Baltimore,23 Larry Pass
L01D1,Region96,Milwaukee,564 Wayridge Court
L01D2,Region149,Albuquerque,6 Hanover Hill
L01D3,Region57,Tucson,17222 Welch Trail
L01D4,Region132,Fresno,2324 Badeau Parkway
L01D5,Region110,Sacramento,254 Kim Hill
L01D6,Region21,Kansas City,498 Florence Way
L01D7,Region21,Mesa,953 Bay Court
L01D8,Region19,Atlanta,436 Morningstar Terrace
L01D9,Region6,Omaha,30453 Mcguire Crossing
L01D10,Region57,Colorado Springs,53099 Weeping Birch Way
L01E1,Region44,Raleigh,90540 Kennedy Park
L01E2,Region20,Miami,59 Gina Hill
L01E3,Region27,Long Beach,8 Messerschmidt Junction
L01E4,Region28,Virginia Beach,4 Ilene Junction
L01E5,Region118,Oakland,801 Blue Bill Park Hill
L01E6,Region124,Minneapolis,5909 Farmco Avenue
L01E7,Region24,Tulsa,65 Barnett Road
L01E8,Region60,Arlington,9598 Clyde Gallagher Street
L01E9,Region114,New Orleans,84 Cambridge Street
L01E10,Region81,Wichita,93 Armistice Park
L02A1,Region142,Cleveland,1284 Boyd Parkway
L02A2,Region125,Tampa,592 Mosinee Drive
L02A3,Region1,Bakersfield,79441 Esker Place
L02A4,Region117,Aurora,1 Charing Cross Circle
L02A5,Region51,Anaheim,05 Stone Corner Circle
L02A6,Region106,Honolulu,9848 Ridgeway Crossing
L02A7,Region58,Santa Ana,26563 Service Center
L02A8,Region114,Riverside,90 Briar Crest Terrace
L02A9,Region126,Corpus Christi,32 Mosinee Plaza
L02A10,Region22,Lexington,28101 American Ash Parkway
L02B1,Region49,Stockton,5188 Walton Junction
L02B2,Region66,Henderson,939 Westend Drive
L02B3,Region142,St. Paul,3513 Dwight Street
L02B4,Region92,St. Louis,0 Lakeland Center
L02B5,Region7,Cincinnati,6804 Hovde Circle
L02B6,Region9,Pittsburgh,8 Bluestem Alley
L02B7,Region8,Greensboro,09462 Tennyson Alley
L02B8,Region51,Anchorage,9458 Luster Court
L02B9,Region136,Plano,500 Rockefeller Road
L02B10,Region118,Lincoln,594 Hoepker Drive
L02C1,Region7,Orlando,65054 Gerald Park
L02C2,Region74,Irvine,34509 Lakewood Gardens Hill
L02C3,Region68,Toledo,31455 Pine View Terrace
L02C4,Region76,Jersey City,2 Colorado Way
L02C5,Region3,Chula Vista,44423 Cordelia Place
L02C6,Region66,Durham,3331 Lake View Alley
L02C7,Region7,Fort Wayne,55065 Towne Street
L02C8,Region85,St. Petersburg,78 Transport Point
L02C9,Region30,Laredo,38 Mesta Way
L02C10,Region61,Buffalo,38 Old Shore Crossing
L02D1,Region116,Madison,55992 6th Hill
L02D2,Region18,Lubbock,51965 Brickson Park Park
L02D3,Region79,Chandler,42609 Ridgeview Pass
L02D4,Region110,Scottsdale,032 Drewry Circle
L02D5,Region148,Reno,2 Moose Drive
L02D6,Region43,Glendale,69091 Meadow Vale Circle
L02D7,Region41,Norfolk,78288 Daystar Terrace
L02D8,Region52,Winston-Salem,08 Muir Center
L02D9,Region86,North Las Vegas,284 Farwell Drive
L02D10,Region76,Gilbert,5 Carey Alley
L02E1,Region108,Chesapeake,9900 Lillian Point
L02E2,Region112,Boise,56592 Brentwood Avenue
L02E3,Region20,Baton Rouge,78 Eggendart Way
