PromotionID,PromotionName,PromotionDescription,DiscountPercentage,StartDate,EndDate,Status
PROM32,Clearance Event,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,40.78,8/26/2015,"error: invalid date ""31/03/2025""",Inactive
PROM30,Flash Sale,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",9.4,10/28/2023,"error: invalid date ""31/03/2025""",Inactive
PROM33,Valentine's Day Promo,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",18.12,4/19/2021,"error: invalid date ""31/03/2025""",Expired
PROM18,Bundle Offer,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,70.51,1/25/2019,"error: invalid date ""31/03/2025""",Expired
PROM10,and Special Holiday Offers.,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",33.73,9/26/2012,"error: invalid date ""31/03/2025""",Inactive
PROM24,New Year Offer,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",95.69,4/5/2016,"error: invalid date ""31/03/2025""",Expired
PROM31,End of Year Clearance,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",64.14,11/24/2023,"error: invalid date ""31/03/2025""",Expired
PROM37,Valentine's Day Promo,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,46.04,8/5/2019,"error: invalid date ""31/03/2025""",Expired
PROM07,Bundle Offer,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",63.17,10/11/2018,"error: invalid date ""31/03/2025""",Active
PROM11,Anniversary Discount,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",98.17,1/13/2014,"error: invalid date ""31/03/2025""",Active
PROM22,Weekend Discount,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",49.95,8/16/2013,"error: invalid date ""31/03/2025""",Active
PROM26,Senior Citizens Offer,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",3.59,7/28/2019,"error: invalid date ""31/03/2025""",Active
PROM15,Back to School Sale,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",10.62,4/4/2022,"error: invalid date ""31/03/2025""",Inactive
PROM03,Anniversary Discount,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",51.8,5/31/2018,"error: invalid date ""31/03/2025""",Inactive
PROM23,Mystery Discount,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",60.48,2/25/2017,"error: invalid date ""31/03/2025""",Expired
PROM04,Clearance Event,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",0.28,11/2/2020,"error: invalid date ""31/03/2025""",Expired
PROM32,Seasonal Sale,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",82.81,10/26/2018,"error: invalid date ""31/03/2025""",Inactive
PROM08,Referral Bonus,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",28.47,5/12/2015,"error: invalid date ""31/03/2025""",Active
PROM22,Limited Time Offer,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",93.04,7/19/2012,"error: invalid date ""31/03/2025""",Inactive
PROM04,Limited Time Offer,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",96.91,2/24/2019,"error: invalid date ""31/03/2025""",Active
PROM33,Anniversary Discount,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,95.05,1/31/2022,"error: invalid date ""31/03/2025""",Active
PROM19,Military Discount,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",60.44,7/1/2017,"error: invalid date ""31/03/2025""",Inactive
PROM27,Black Friday Sale,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",99.19,5/8/2022,"error: invalid date ""31/03/2025""",Inactive
PROM23,Winter Clearance,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",11.83,5/20/2024,"error: invalid date ""31/03/2025""",Expired
PROM32,Seasonal Sale,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",0.01,8/15/2024,"error: invalid date ""31/03/2025""",Inactive
PROM21,Festive Discounts,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,6.02,2/4/2023,"error: invalid date ""31/03/2025""",Inactive
PROM14,Summer Discount,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",38.25,11/15/2021,"error: invalid date ""31/03/2025""",Active
PROM05,Exclusive Member Offer,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",97.65,5/31/2023,"error: invalid date ""31/03/2025""",Expired
PROM38,Loyalty Rewards,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",60.25,8/12/2023,"error: invalid date ""31/03/2025""",Expired
PROM21,Referral Bonus,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",97.53,4/18/2018,"error: invalid date ""31/03/2025""",Inactive
