VendorID,VendorName,VendorContact,VendorPhone
V11,Apple,mcastanyer0@taobao.com,306-215-4686
V12,Kroger,ihammersley1@clickbank.net,880-973-5785
V15,Home Depot,mfrondt2@webeden.co.uk,746-790-1056
V20,Nike,cseamans3@ucoz.com,340-777-0653
V16,Costco,squixley4@netvibes.com,212-106-1501
V09,Walmart,aaldred5@vkontakte.ru,382-859-9357
V17,Whole Foods,dtrembey6@liveinternet.ru,130-361-2828
V02,Whole Foods,chankey7@redcross.org,314-484-3915
V14,Tesla,eheinert8@list-manage.com,849-349-9279
V09,Whole Foods,tdwyer9@elegantthemes.com,208-150-1948
V18,Target,gpallistera@upenn.edu,308-420-4378
V04,Best Buy,eloacheb@taobao.com,583-410-8481
V02,Microsoft,dodeec@mysql.com,628-288-4334
V18,Amazon,lrossboroughd@msn.com,331-862-4882
V12,Home Depot,rimpette@bbb.org,932-522-8217
V19,Macy's,bborzonef@dell.com,327-153-5966
V04,Walgreens,mboxellg@yelp.com,573-436-8097
V17,Tesla,prabath@amazonaws.com,695-224-7864
V09,Ford Motor Company,jhancocki@edublogs.org,381-725-3737
V04,Home Depot,aaaronsonj@stumbleupon.com,682-290-1212
